Partlist

Exported from happyboard.brd at 7/25/2010 9:21:01 PM

EAGLE Version 5.6.0 Copyright (c) 1988-2009 CadSoft

Part     Value                  Package             Library         Position (mm)         Orientation
R62      47K                    R0603               enut202         (36.83 31.75)         R180
R66      200K                   R0603               enut202         (84.455 24.892)       MR270
R71      10K                    R0603               enut202         (89.916 37.719)       R90
R72      4.7K                   R0603               enut202         (94.742 55.626)       R180
RCOMP    3.74k                  R0402               rcl             (81.84 65.01)         R90
RF1      1k                     R0402               rcl             (84.7 65.86)          R270
RF2      6.98k                  R0402               rcl             (83.33 65.86)         R90
RFADJ    14.3k                  R0402               rcl             (87.52 65.41)         MR90
RN1      47K                    0603-ARC            rng             (65.405 8.89)         MR0
RN2      47K                    0603-ARC            rng             (55.245 8.89)         MR0
RN3      47K                    0603-ARC            rng             (88.265 8.89)         MR0
RN4      47K                    0603-ARC            rng             (78.105 8.89)         MR0
RN5      47K                    0603-ARC            rng             (45.085 8.89)         MR0
RN6      47K                    0603-ARC            rng             (34.925 8.89)         MR0
RN7      47K                    0603-ARC            rng             (22.225 8.89)         MR0
RS1      604                    R0402               rcl             (84.83 66.56)         MR270
RSENSE   0.015                  R2512               rcl             (80.41 70.76)         MR180
S1       EG2219                 EG2219              rng             (104.267 57.404)      R270
S2       tact                   TL3301              rng             (80.518 18.542)       R0
S3       tact                   TL3301              rng             (91.948 18.542)       R0
SV1                             1X08                SparkFun        (91.7 78.09)          R180
U$18     BSC100N03MS            PG-TDSON-8          00TshenLib      (80.48 71.01)         R0
U1       FT232RL                SSOP-28             ftdi4           (93.091 27.813)       R0
U2       ATMEGA128L             TQFP64              enut202         (72.39 42.926)        R90
U3       PQ1T251M2ZP            SOT23-5             rng             (55.499 66.294)       R180
U4       XC3S50                 VQ100               happyboard      (52.07 42.926)        R90
U5       L6205N                 DIL20               rng             (22.86 53.34)         R0
U6       L6205N                 DIL20               rng             (22.86 40.005)        R0
U7       L6205N                 DIL20               rng             (22.86 26.67)         R0
U8       CY7C199                SOJ28-4             rng             (66.294 24.13)        R180
U9       CD40109B               TSSOP16             rng             (31.496 16.129)       R270
U10      A8447                  SO-08-PAD           rng             (41.656 72.39)        R90
U11      MCP3008                SO16                happyboard      (45.72 25.4)          MR90
U12      LT1767EMS8E            MSOP8E              rng             (92.329 59.944)       R270
U13      GTL2010PW              TSSOP24             happyboard      (80.518 27.432)       R180
U15      AT45DB011B             SO8                 atmel           (92.964 24.384)       MR90
U16      LP36890                SOT223-5            rng             (87.249 46.863)       R90
U17      ADP171X                SOT23-5             rng             (54.102 75.057)       R90
U18      MCP3008                SO16                happyboard      (51.689 17.018)       R0
U19      MCP3008                SO16                happyboard      (40.894 17.018)       R0
U20      MCP130T                SOT23               rng             (93.472 37.973)       R270
U21      LM3478                 MSOP08              00TshenLib      (88.35 65.54)         R270
VR1      FROBKNOB               FROBKNOB            rng             (106.68 39.37)        R270
